"CO_ENTIDADE","nome_escola_2020","situacao_2021","dependencia","rede","matriculas_2020","address","Latitude","Longitude "
35176370,"RAIO DE LUZ CENTRO DE RECREACAO INFANTIL","paralisada_2021","3_privada_nao_conveniada","privada",61,"ANALICE SAKATAUSKAS, 716 AVENIDA. BELA VISTA. 06060-003 Osasco - SP.","-46.7794845"," -23.5521249"
35384100,"LIMA CAVALCANTE COLEGIO","paralisada_2021","3_privada_nao_conveniada","privada",26,"BENEDITO ALVES TURIBIO, 247 AVENIDA. PADROEIRA. 06160-004 Osasco - SP.","-46.8064139"," -23.5583266"
35460643,"PAIS E FILHOS ESCOLA DE EDUCACAO INFANTIL","paralisada_2021","3_privada_nao_conveniada","privada",27,"RAUL TORRES, 249 RUA. VILA CAMPESINA. 06028-060 Osasco - SP.","-46.7655337"," -23.5470427"
35006110,"CRECHE MUNICIPAL PROFESSORA CARMEM SILVIA MARQUES SANTOS","extinta_2021","1_publica","pública ou conveniada",40,NA,"NA"," NA"
35068408,"IZOLINA RIBEIRO PEREIRA EMEB","extinta_2021","1_publica","pública ou conveniada",100,"VINTE E SEIS DE MARCO, 197 AVENIDA. CENTRO. 08562-140 Poá - SP.","-46.3440469"," -23.529196"
35224388,"JULIA MONTEIRO GARCIA EMEB","paralisada_2021","1_publica","pública ou conveniada",72,"R MONGAGUA, 333 RUA. JD AMERICA. 08555-400 Poá - SP.","-46.3545546"," -23.5076147"
35470016,"EMEB INTEGRAL ABRIGO BATUIRA","extinta_2021","1_publica","pública ou conveniada",139,"PORTO FERREIRA, 55 RUA. CENTRO. 08562-150 Poá - SP.","-46.3448335"," -23.529021"
35583765,"ESCOLA DE EDUCACAO INFANTIL REINO DE MADAGASCAR","extinta_2021","3_privada_nao_conveniada","privada",52,"RUA MARQUES DO HERVAL, 287 RUA. JARDIM MEDINA. 08556-400 Poá - SP.","-46.3467028"," -23.5137392"
35586705,"CRECHE MUNICIPAL CAROLINE GONZALES DE FREITAS","extinta_2021","1_publica","pública ou conveniada",15,"RUA JOSE HERNANDES, 44 RUA. VILA ACOREANA. 08557-330 Poá - SP.","-46.3416203"," -23.5154565"
35006184,"ESCOLA RECANTO INFANTIL EMANUEL","paralisada_2021","3_privada_nao_conveniada","privada",17,"AUGUSTO MAZIERO, 195 ALIANCA. 09403-400 Ribeirão Pires - SP.","NaN"," NaN"
35417385,"PETER PAN EMEB","paralisada_2021","1_publica","pública ou conveniada",44,"RUA GAMA, 68 RUA. JARDIM MARIA PAULA. 09450-000 Rio Grande da Serra - SP.","-46.396211"," -23.7427251"
35448928,"PEQUENO POLEGAR ESCOLA MUNICIPAL DE EDUCACAO BASICA","paralisada_2021","1_publica","pública ou conveniada",41,"RUA VICTOR BREITAUPT, 188 RUA. JARDIM MARIA PAULA. 09450-000 Rio Grande da Serra - SP.","-46.3955917"," -23.7441858"
35651576,"CRECHE DO BAIRRO OURO FINO","paralisada_2021","1_publica","pública ou conveniada",22,"BAIRRO OURO FINO, SN SIS 371. OURO FINO. 07500-000 Santa Isabel - SP.","-46.26082319"," -23.29083335"
