"CO_ENTIDADE","nome_escola_2020","situacao_2021","dependencia","matriculas_2020","address","Latitude","Longitude ","rede"
35192636,"PERSON COLEGIO","extinta_2021","3_privada_nao_conveniada",17,"MATEUS LOURENCO DE CARVALHO, 77/87 RUA. VILA BUENOS AIRES. 03736-200 São Paulo - SP.","-46.5145706"," -23.5116558","privada"
35194918,"CR P CONV CANTINHO DO PROGRESSO C E I","extinta_2021","2_privada_conveniada",115,"AVOANTE, 83 JARDIM DAMASCENO. 02879-010 São Paulo - SP.","-46.6989"," -23.4516","pública ou conveniada"
35194943,"PUZZLE EDUCACAO INFANTIL BILINGUE","paralisada_2021","3_privada_nao_conveniada",7,"RUA DOUTOR JESUINO MACIEL, 919 CAMPO BELO. 04615-002 São Paulo - SP.","-46.67166"," -23.61936","privada"
35198948,"QUINTAL MAGICO ESCOLA","extinta_2021","3_privada_nao_conveniada",13,"RUA IRMA PIA, 127 RUA. JAGUARE. 05335-050 São Paulo - SP.","-46.75087"," -23.54858","privada"
35199254,"ESC PART BRILHO DO SOL","paralisada_2021","3_privada_nao_conveniada",40,"RUA REVERENDO ALCIDES FRANCO, 91 JARDIM ITAPEMIRIM. 08220-700 São Paulo - SP.","-46.45740673"," -23.53573903","privada"
35199308,"OS PEQUENINOS NRI","paralisada_2021","3_privada_nao_conveniada",31,"RUA BOTUPORA, 243 ITAQUERA. 08215-470 São Paulo - SP.","NaN"," NaN","privada"
35199312,"NUCLEO DE EDUCACAO INFANTIL LAPIS MAGICO","paralisada_2021","3_privada_nao_conveniada",18,"RUA ITALINA, 340 ITAQUERA. 08210-790 São Paulo - SP.","-46.4505416666667"," -23.5413516666667","privada"
35199321,"ALPHA LESTE EEI","paralisada_2021","3_privada_nao_conveniada",30,"RUA MARIANO MORO, 620 636. VILA REGINA ZONA LESTE. 08225-060 São Paulo - SP.","-46.45616"," -23.5331","privada"
35199761,"ESCOLA DE EDUCACAO INFANTIL CACA TALENTO","paralisada_2021","3_privada_nao_conveniada",18,"RUA ITINGUCU, 2233 VILA RE. 03658-011 São Paulo - SP.","-46.49516"," -23.53102","privada"
35207731,"EMEI DO LAR SIRIO","paralisada_2021","1_publica",89,"SERRA DE BRAGANCA, 990 VILA GOMES CARDIM. 03318-000 São Paulo - SP.","-46.5657"," -23.5446","pública ou conveniada"
35264672,"EEI MONTHEGAN","paralisada_2021","3_privada_nao_conveniada",23,"RUA PIQUINHU, 16 VILA RE. 03657-010 São Paulo - SP.","-46.50754"," -23.52457","privada"
35266504,"ESCOLA DE EDUCACAO INFANTIL CHAVE DO TAMANHO BABY","paralisada_2021","3_privada_nao_conveniada",15,"RUA CARLOTA LUISA DE JESUS, 157 PARQUE SAO JORGE. 03086-060 São Paulo - SP.","-46.56678"," -23.53029","privada"
35285584,"CR P CONV ANGLICANA LINA RODRIGUES","paralisada_2021","2_privada_conveniada",121,"NICIA COUTINHO PATRICIO, 128 VILA PENTEADO. 02866-000 São Paulo - SP.","-46.6828"," -23.4652","pública ou conveniada"
35287040,"IDEAL FUTURO COLEGIO","paralisada_2021","3_privada_nao_conveniada",9,"ODUVALDO VIANA, 735 RUA. JARDIM RINCAO. 02991-140 São Paulo - SP.","-46.7280371"," -23.4337583","privada"
35293027,"OLIVIA PALITO BERCARIO UNIDADE II","paralisada_2021","3_privada_nao_conveniada",32,"RUA PADRE ESTEVAO PERNET, 841 VILA GOMES CARDIM. 03315-000 São Paulo - SP.","-46.56678"," -23.54181","privada"
35293124,"PRE ESCOLA DE EDUCACAO INFANTIL TRENZINHO AZUL","paralisada_2021","3_privada_nao_conveniada",33,"RUA SAO ROBERTO, 262 VILA MARIETA. 03617-010 São Paulo - SP.","-46.5247401"," -23.5184209","privada"
